Function Name, Cumulative Stack Size, Branch Type
"capi_v2_evs_dec_init",96272,Recursive
"XCUTa7CahnTXCVa",95872,Recursive
"7CqTUaXTC9",95856,Recursive
"nVXTI6qTUCXTC9",77032,Recursive
"capi_v2_evs_enc_init",63552,Recursive
"6qTCI8TX9",63112,Closed
"X4CTa7CahnTXCVa",62976,Recursive
"7CqTCaXT49",62600,Recursive
"XCUTtXTPhCHJ9TXntqC",55760,Recursive
"XCUmUCVTjn_",55648,Recursive
"4ChTtXCPXT2X9HJtT4",43864,Recursive
"CnVXCC4TVUXTVhCVPV4h",43776,Recursive
"fTnJtqTUoXTC9",43440,Recursive
"VXVCTn4XCU2THCVUf7",42272,Recursive
"ClUmjHwVOCVCX_a224",41832,Closed
"_wPt4VrCrOO4XVtXT_PHCCH",41800,Closed
"tVCPXTXhnqTUCXTC9",37928,Recursive
"XCUXUCVTHn9",37200,Recursive
"foTofaqTUCXTC9",36728,Closed
"foTofqTUCXTC9",36632,Closed
"foTofaqTCCXT49",34688,Closed
"PTI6qTCnXT49",33400,Recursive
"XXUCVTHn9",31480,Recursive
"XGnCVa2T4PPTt4ttvG2aa62T6Ho2TntHC",30904,Recursive
"aToTffCoUqXTCnT69",28592,Closed
"nVXTI6qTCCXT49",26944,Closed
"CnhqhnTXTV9",26648,Closed
"PTI6qTUnXTC9",26416,Recursive
"tVCPXTXhnqTCCXT49",26136,Recursive
"42qCAOrVCtP4VHhVJC44a",25680,Closed
"XCHC_OrVHtP4VHhVJC44a",25376,Closed
"oHTofaqTUCXTC9",24800,Closed
"aToTffCoCqXT4nT69",24528,Closed
"L8t1H24C8hCFHnXJ",23264,Closed
"VXHCTnf2aXV246ThGaqTUHXTC9",22912,Recursive
"fTnJtqTCoXT49",22368,Recursive
"PCXtTTXhnCVaU2Hf6TXCqToX2Tq9",21320,Recursive
"BOTofaqTUlXTC9",20944,Closed
"XHTTXInCVjqTCAXT49",20864,Recursive
"foTofqTCCXT49",20640,Closed
"aToTffCoCqXT4nTP9",19592,Closed
"ST7C4aCnrnt4nqVaJ",19200,Closed
"6TI6qTUnXTC9",19184,Recursive
"zsF4Clqv4F6TH9",18888,Closed
"XXCthTPVHCTnf2aXqTU6XTC9",18568,Recursive
"VXPCTnXCthTHXT3p9a42Hf62XG",18424,Closed
"6TI6qTCnXT49",18344,Recursive
"4C4lntraqH224TV9",18240,Closed
"X2nCVafTHh62XGT4nqTUCXTC9",17816,Closed
"oHToqqTUCXTC9",17768,Closed
"2PqUTthUT4VG4Jf9T2CqCn4XT29",16920,Closed
"capi_v2_fourgv_nw_2k_dec_init",16824,Recursive
"q6TavTH64tqnTJoTf9",16696,Closed
"VX4CqThUhTh9",16552,Closed
"T8BDkRV3nUE_lXVCCCUCWVUXnamaQpTFmC3rD5_rXmHnFXH8erV8RlEnu",16544,Recursive
"h2PqTaPCqHnXJT89",16544,Closed
"T7BDkqGp_DXVCCnUWTCXUUCVfTthnCnhqmQA9maaDXrr3_C5Fen8HHmXRu8nVErla",16512,Recursive
"oHToqqTCCXT49",15792,Closed
"vaaH64a2CCGqoT62T6qotTUT49",15784,Closed
"capi_v2_eamr_enc_init",15760,Recursive
"capi_v2_slow_talk_init",15720,Recursive
"CnhTofaqhnTXTV9",15632,Closed
"CHtUh8CUCTVUXn4jmTTX_G",15608,Closed
"nJtCCC4TVUXn",15560,Recursive
"7ThhhC2XVUTC4qVUXnTC9",15440,Closed
"n2UtXHCHnT4qqVaJTn9",15344,Closed
"TvDiktaC6TtnC4G2Cmto4CUP7TaFmTFpa",15160,Recursive
"aToTffCoUqXTCnTP9",15144,Closed
"oHTofaqTCCXT49",15000,Closed
"XHTTXInCVjqTUAXTC9",14944,Recursive
"htJCTFnCXX6CQ4TVJCTUntRC",14872,Recursive
"VtJCTXnU",14384,Recursive
"HH9TXn2t6CC4TVUXTh47CPVCC",13992,Closed
"X4VXHtPCC4JTT2GatP4Hq428GT49",13936,Closed
"UCXVCTGU4q7VTXT29",13880,Recursive
"GqpDBkTC_C7VUXnCUCiVUXTa9QqaamFpTapaFaT_D3mr5rCHFHX8Xna",13840,Recursive
"VXHCTnf2aXV246ThGaqTCHXT49",13784,Recursive
"TCJ2HTVJU24tRqOTQ1Ts9",13736,Closed
"XXCthTPVHCTnf2aXqTC6XT49",13712,Recursive
"VU42fqTVftTP9",13656,Closed
"fourgv_enc_cb_func(void*, capi_v2_event_id_t, capi_v2_event_info_t*)",13408,Recursive
"VXCUqThUhTh9",13328,Closed
"OOxrw_TraS4TCn7C",13240,Closed
"pDBkTVG7qCX_UnnDCqCWTanVhCaX2mGT49QqapaaaaFaT",13216,Recursive
"pDBkTVG7qCX_U2nDC7VWXVUTCCXUUmnTC9QqapaaaaFaT",13160,Closed
"BkTl3RD8nVEW4XQUCVCQXV4CnUmmFpaaaT37qVdnG8TXHvHC4TTTHnaXH8H",13032,Recursive
"pDBkTVG7q4XQUXnDCC4WVhCTUntfhmnTC9QqaTW_AwRrqma29XaA37qVdnG8TXHvHC4TTTHnaXH8H",12984,Recursive
"qpDBkTU7QGXV4CUiCnXV4Cmq9TAaQa",12888,Recursive
"TUVX4Cq8UtVT29",12872,Recursive
"7ThhhU2XVUTCCqVUXnTC9",12616,Closed
"GkBTpqD7n4XQUCV32Hnp4atCVHT44XCUmnTC9Qqa",12480,Recursive
"capi_v2_amrwb_audio_enc_init",12424,Recursive
"UVXTnTCX9Hf44U2fTVVtV7TnPCh",12416,Closed
"TofnJt24XCJtT4",12120,Closed
"ofnJthC4TTtX2",12120,Closed
"UVXPnTCXCth",12072,Recursive
"capi_v2_eamr_dec_init",12072,Recursive
"PPCohH2XT2hGTKqyTeCqCn4XT29",11896,Closed
"UVXCUPnTCXCth",11800,Recursive
"CTG4OURSXV4CFU_",11584,Closed
"OFSHClqXtFCTP9",11224,Closed
"nJtCoTfVUXn",11120,Closed
"CXJntUCTVVCnUhnTX",11072,Recursive
"JtCUTUnXVCC",11072,Recursive
"UTfoqHCCHTX9",10968,Closed
"BkTCpqD7_GXXUCVD0nCVhTPCXUUmnTC9Qqap2aaaFaT",10920,Closed
"T9XHaHhPhVTH",10896,Closed
"XCCnhqVT6oTa9",10744,Closed
"9XHT4VX",10736,Closed
"DBkTXqGp_C7VnCnUpH3tTa244HCUTXVCCnUqpQm9aFaT",10720,Closed
"nmlXCVaSaR",10656,Closed
"cX4QRlS4hPhwVvV",10552,Closed
"htJCTFnCXX6C_CTVJCTUntRC",10504,Recursive
"GqpDBkTCQ47VUXnCW7D2XVUCC4TVUXnAq9TmaQa",10456,Closed
"cXC_RlS4hPhwVvV",10328,Closed
"nJtCC_CTVUXn",10256,Recursive
"capi_v2_wve_init",10192,Recursive
"ec_capi_v2_cb_func(void*, capi_v2_event_id_t, capi_v2_event_info_t*)",10152,Recursive
"TnCUVXnXCthTPq",10088,Recursive
"UTG4OURSXVCCFU_",9952,Closed
"XP4TVXCth",9880,Closed
"hc4PvhUORG",9864,Closed
"7fDDkTCThCVXna7maaTmFm4KfDOV7qXGF2n8HH",9832,Closed
"HClqXtFCTP9",9824,Closed
"kT8KfDTq74pH2X4TVDDaFmamT0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",9800,Closed
"4CGTI64n2CTCXXqU2VGT49",9712,Closed
"UUtatazmVaHR2PRCnH9",9688,Closed
"PJXThnVqT8hCaHnXJ",9632,Closed
"oHTofqTUCXTC9",9600,Closed
"THXUC2q6VaHTn9",9504,Closed
"BOqTClXT49",9168,Closed
"9HTXC",9000,Recursive
"CGTCn4HCtXTJqVnHV442aVTCCX",9000,Closed
"CGTCn4HCtXTJqVnHV4C2aVTUCX",8960,Closed
"lC4FCth6U2szF9XQHqH2t4TV9",8944,Closed
"2qqUT47T89",8696,Closed
"HH9TXn2t6CUCTVUXTh47CPVCC",8424,Closed
"XTCnVXVUCVTJnUXTaC2Hf6",8408,Closed
"wHCFCUCV4US9",8408,Closed
"CaCnQzrqTCHXT49",8352,Closed
"vFoqUPXaH64a2CR4PH2n2CG",8328,Closed
"2avPt4tQOPaqoU4qVUXnTC9",8264,Closed
"V_qrRA4Tr9",8240,Closed
"tnC4CGyCTHtaJ2aGT4V24C",8208,Closed
"2a8JT_jTThXaHVqqPH2nTC9",8152,Closed
"oHTofqTCCXT49",8144,Closed
"2hTX4CqTCHXT99",8096,Recursive
"76qTCIXT49",7984,Recursive
"JnhTX4C",7952,Recursive
"7TytChqTCIXT49",7832,Recursive
"a2V4TTCCHn9XqnXVUTV9",7832,Closed
"H4VXOch9HCthw2VGT44XCUJ3TCVT4CjTaJWTDO",7816,Closed
"TnJtCKtoPPDCY",7768,Recursive
"Pt4cCLCvVfmn8hCFHnXJ",7704,Closed
"TnJtCKtoPPDC0",7696,Recursive
"FOxrw_Tr",7648,Closed
"TnJtCDtoPPDC3",7648,Closed
"OOxrw_Tr",7624,Closed
"BkT4pqD7QGXzUCViMnTQ4XCq9T7",7616,Closed
"9qTHaUC",7560,Closed
"TnJtCKtoPPDCi",7560,Closed
"9qTHXUC",7536,Closed
"BOqTClXT99",7488,Closed
"6H4vFRa2CFrar",7480,Closed
"DBkTXqGpQ47VCCnUYUDXn2XPTqytmCTJ9QqaapTFpTFa",7472,Closed
"6aIT7PtXaqq22nTC9",7440,Recursive
"TjSrMTQC46C4Xtn",7400,Closed
"TnJtCXoaXtnC6",7392,Closed
"BkTCpqD7_GXMUCVDYnzy84TtXhTQCXUq9T7",7376,Closed
"U6thCTa2VhCaa2n4",7328,Closed
"XTnJtC2UCVDpTKHTdpo20a",7328,Closed
"GkBTpqD7nCX_UCVDT4VeaC2a24HvCa6a1q9TD0QM_BrckQSTazTs9mqa",7256,Closed
"kT8KfDTq74iH2X4TVKMefDT17cTrSBQ_ksaTqzma9aDaFaTmp0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",7256,Closed
"GkBTpqD7n4XQUCVDXuz0Q4TmqnttaTJ9Am3QmcpcQTRwcwATqlEKzTj9DaFmTm3Wr41McBMSTQ_kszTqTF39F3Ta",7152,Closed
"G4H6CnTtVqaC24TG9",7128,Closed
"haaXHC8JnJVVHVT462qCHa4TV9",6960,Closed
"qnCh2nJV4VTaJTCCH2atC2VHTU4X",6928,Closed
"coqUPXatP4a2vR4PH2n2CG",6904,Closed
"qpDBkTU7QGXV4Ch3YnCPXT2UXJTUHatn2X24JHmnTV9Qqa",6904,Recursive
"nJtCiPtTCPo3",6872,Closed
"PXPqoU4tcvH2aa2PRCV24njVGh",6840,Closed
"Pt4cRa2vFrar",6792,Closed
"BkT4pqD7QGXJUCVDYn8X2XaC4TVQCnUq9T7",6768,Recursive
"czqZmFnqTH",6760,Closed
"hJ2nV7ntJTTqoTfaTG9",6720,Closed
"UVX4CqHnT4Tt9",6688,Recursive
"7kBTqGiOKJJV43VXaCtnCTHvHTC4X29t92VHTq4QpaFmTFpTApTFDr3cQFTBZ_wjFmcTcwATpxaRaFaT",6664,Closed
"TqDKkHTa8TXH4V42DTmX3TFFaHammeaDT29hC4atVHFH48Xna",6664,Undetermined
"HaVhCUCTVUXn",6648,Closed
"TqDKkHTa8TXH4V42KTmXpTFFaHammeaDT29hC4atVHFH48Xna",6648,Undetermined
"v13k_enc_cb_func(void*, capi_v2_event_id_t, capi_v2_event_info_t*)",6576,Recursive
"venc_data_handler(void*)",6488,Recursive
"7kBTqGiOiJJV4DVGh4TC6taCCT4U2aVTa9QqaamFQTmpYlDBZFsTTBmSpQTF9FqT",6464,Closed
"venc_process(venc_t*)",6448,Recursive
"CTCnVX8XV4CTUh4tHUTXCG",6440,Closed
"T7f0DkTV84qH2X4aDpTmapa7TmFKfDTV84qH2X4DD3TTmF0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",6440,Closed
"CCXV4TGU4q7VTXT29",6392,Recursive
"HPT9XHUTChXV4C",6320,Closed
"qSau4Tv9",6256,Closed
"capi_v2_wve_v2_init",6248,Recursive
"BV9HCGVTUTtqTCnHonna8TCHtq8naaTC9",6168,Closed
"tTUVX4CqnTJoTf9",6160,Recursive
"ydD74P7TTCoX",6144,Closed
"2UVJqvTqaTR9",6032,Closed
"capi_v2_aig_process(capi_v2_t*, capi_v2_stream_data_t**, capi_v2_stream_data_t**)",5968,Closed
"capi_v2_hr_enc_init",5944,Recursive
"CAigLib::Process(short*, short*, short*, short*, unsigned long)",5928,Closed
"2XCUTtHJT3CVtCn7dTTPqhtPaTa9",5920,Closed
"aVmXTJHa28TqVahmTH9",5880,Closed
"XQORC9TTqaHCJT29",5856,Recursive
"37T7fahnTXCVa",5848,Closed
"CnmXTJha28TqVahmTH9",5848,Closed
"capi_v2_efr_enc_process(capi_v2_t*, capi_v2_stream_data_t**, capi_v2_stream_data_t**)",5816,Recursive
"Diag_LSM_Init",5784,Recursive
"TUVXCUq8UtVT29",5784,Recursive
"efr_encoder",5768,Closed
"6JaGUTCnXV4C",5712,Closed
