Function Name, Cumulative Stack Size, Branch Type
"qc_loc_fw::LOWIFakeWifiDriver::lowi_fake_thread(void*)",15200,Recursive
"qc_loc_fw::LOWIFakeWifiDriver::generateFakeResponse(qc_loc_fw::LOWIRequest*)",15128,Recursive
"handle_wlan_state_query_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_get_bgscan_results_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_bgscan_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_get_batching_results_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_batching_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_snoop_scan_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_wlan_events_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4880,Recursive
"handle_capabilities_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4872,Recursive
"handle_discovery_scan_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",4872,Recursive
"_ZL39handle_wlan_events_subscription_requestmP21qmi_req_handle_structjPvjS1___merged",4864,Recursive
"_ZL29handle_discovery_scan_requestmP21qmi_req_handle_structjPvjS1___merged",4856,Recursive
"qc_loc_fw::LOWIController::notifyResults(qc_loc_fw::LOWIMeasurementResult*)",4832,Recursive
"handle_request(qmi_req_handle_struct*, unsigned int, qc_loc_fw::LOWIRequest*)",4800,Recursive
"qc_loc_fw::LOWIController::processMeasurementResults(qc_loc_fw::LOWIMeasurementResult*)",4792,Recursive
"qc_loc_fw::LOWIController::processRequest(qc_loc_fw::LOWIRequest*)",4736,Recursive
"qc_loc_fw::LOWIController::processResults(qc_loc_fw::LOWIMeasurementResult*)",4736,Recursive
"qc_loc_fw::LOWIController::batchNSendIndication()",4688,Recursive
"qc_loc_fw::LOWIController::processRequestImmediately(qc_loc_fw::LOWIRequest*)",4688,Recursive
"qc_loc_fw::LOWIController::sendDiscoveryScanResponse(qc_loc_fw::LOWIRequest*, bool)",4664,Recursive
"qc_loc_fw::LOWIController::handleSubscriptionRequest(qc_loc_fw::LOWIRequest*)",4624,Recursive
"qc_loc_fw::LOWIController::updateBGScanNSendIndication(qc_loc_fw::LOWIMeasurementResult&)",4616,Recursive
"qc_loc_fw::LOWIController::addRequestToBatchingRequestList(qc_loc_fw::LOWIRequest*)",4608,Recursive
"qc_loc_fw::LOWIController::addRequestToAsyncScanRequestList(qc_loc_fw::LOWIRequest*)",4608,Recursive
"qc_loc_fw::LOWIController::sendEventsResponse(qc_loc_fw::LOWIRequest*, qc_loc_fw::LOWIMeasurementResult*)",4592,Recursive
"qc_loc_fw::LOWIController::addRequestToBGScanRequestList(qc_loc_fw::LOWIRequest*)",4568,Recursive
"qc_loc_fw::LOWIController::addRequestToEventsRequestList(qc_loc_fw::LOWIRequest*)",4568,Recursive
"qc_loc_fw::LOWIController::addRequestToAsyncScanRequestList(qc_loc_fw::LOWIRequest*) (.extracted_region)",4568,Recursive
"qc_loc_fw::LOWIController::issueRequest()",4560,Recursive
"qc_loc_fw::LOWIController::sendResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIMeasurementResult*)",4544,Recursive
"qc_loc_fw::LOWIController::addRequestToEventsRequestList(qc_loc_fw::LOWIRequest*) (.extracted_region)",4536,Recursive
"qc_loc_fw::LOWIController::sendErrorResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIResponse::eScanStatus)",4512,Recursive
"qc_loc_fw::LOWIController::sendErrorResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIResponse::eScanStatus) (.1.2_i8_2)",4512,Recursive
"qc_loc_fw::LOWIController::sendAsyncScanResponse(qc_loc_fw::LOWIRequest*)",4512,Recursive
"qc_loc_fw::LOWIController::generateResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIMeasurementResult*, bool&)",4424,Recursive
"qc_loc_fw::LOWIROMEWifiDriver::sendRequest(qc_loc_fw::LOWIRequest*)",3848,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::sendRequest(qc_loc_fw::LOWIRequest*)",3848,Recursive
"adsp_process_group_skel_invoke",3680,Recursive
"adsp_process_group_create_mpd",3640,Recursive
"adsp_process_group_create_mpd_attrs",3624,Recursive
"SigVerify_start",3592,Recursive
"is_process_debug_enabled",3576,Recursive
"SigVerify_CheckForTestEnableFromBuf",3560,Recursive
"is_testsig_valid",3560,Recursive
"SigVerify_start_Ex",3544,Recursive
"SigVerify_AuthWork",3488,Recursive
"SigVerify_start_impl",3464,Recursive
"lowi_controller_start",3360,Recursive
"lowi_init",3360,Recursive
"lowi_controller_thread(void*)",3344,Recursive
"lowi_disconnect_cb(void*, void*)",3320,Recursive
"qc_loc_fw::LOWIClientFactory::destroyClient(unsigned long)",3296,Recursive
"QDI_Touch_Invocation",3288,Recursive
"qc_loc_fw::LOWIController::generateBGScanResultsResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIMeasurementResult*)",3280,Recursive
"qc_loc_fw::LOWIController::getLOWIController()",3264,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::createInstance(unsigned long, qc_loc_fw::LOWIWifiDriverListener*, qc_loc_fw::LOWIResponse::eScanStatus*)",3240,Recursive
"qc_loc_fw::LOWICacheManager::getFromCache(long long, long long, qc_loc_fw::vector<unsigned long>&, qc_loc_fw::LOWIMeasurementResult&, qc_loc_fw::LOWIRequest*)",3200,Recursive
"qc_loc_fw::LowiBGScanAPList::update(qc_loc_fw::LOWIMeasurementResult&)",3192,Recursive
"qc_loc_fw::LOWICacheManager::putInCache(qc_loc_fw::LOWIMeasurementResult&)",3160,Recursive
"qc_loc_fw::LOWIController::sendBGScanResultsResponse(qc_loc_fw::LOWIRequest&, QmiLowiGetBGScanBatchingResultsInd_v01*)",3112,Recursive
