Channel  Owner  SlaveId  Periph
0.       4.      0x0     0x01
1.       4.      0x0     0x04
2.       4.      0x0     0x05
3.       4.      0x0     0x06
4.       0.      0x0     0x08
5.       0.      0x0     0x09
6.       4.      0x0     0x0B
7.       0.      0x0     0x10
8.       0.      0x0     0x11
9.       0.      0x0     0x12
10.      0.      0x0     0x13
11.      0.      0x0     0x14
12.      0.      0x0     0x15
13.      0.      0x0     0x16
14.      0.      0x0     0x17
15.      0.      0x0     0x18
16.      0.      0x0     0x1B
17.      2.      0x0     0x1C
18.      0.      0x0     0x24
19.      0.      0x0     0x28
20.      4.      0x0     0x2C
21.      0.      0x0     0x31
22.      2.      0x0     0x32
23.      0.      0x0     0x34
24.      0.      0x0     0x35
25.      0.      0x0     0x37
26.      2.      0x0     0x38
27.      0.      0x0     0x39
28.      4.      0x0     0x3C
29.      0.      0x0     0x3D
30.      0.      0x0     0x3E
31.      2.      0x0     0x3F
32.      0.      0x0     0x40
33.      0.      0x0     0x41
34.      0.      0x0     0x42
35.      0.      0x0     0x43
36.      0.      0x0     0x44
37.      0.      0x0     0x45
38.      0.      0x0     0x46
39.      0.      0x0     0x48
40.      0.      0x0     0x49
41.      0.      0x0     0x4A
42.      0.      0x0     0x4B
43.      2.      0x0     0x50
44.      4.      0x0     0x51
45.      4.      0x0     0x52
46.      4.      0x0     0x53
47.      2.      0x0     0x54
48.      2.      0x0     0x55
49.      2.      0x0     0x56
50.      4.      0x0     0x59
51.      4.      0x0     0x5A
52.      4.      0x0     0x5B
53.      4.      0x0     0x5C
54.      4.      0x0     0x5D
55.      2.      0x0     0x60
56.      0.      0x0     0x61
57.      0.      0x0     0x62
58.      4.      0x0     0x70
59.      4.      0x0     0x71
60.      4.      0x0     0x72
61.      0.      0x0     0x73
62.      2.      0x0     0x74
63.      2.      0x0     0xC0
64.      0.      0x0     0xC1
65.      0.      0x0     0xC2
66.      0.      0x0     0xC3
67.      0.      0x0     0xC4
68.      0.      0x0     0xC5
69.      0.      0x0     0xC6
70.      0.      0x0     0xC7
71.      0.      0x0     0xC8
72.      0.      0x0     0xC9
73.      2.      0x0     0xCA
74.      0.      0x0     0xCB
75.      0.      0x0     0xCC
76.      0.      0x0     0xCD
77.      4.      0x0     0xCE
78.      4.      0x0     0xCF
79.      0.      0x0     0xD0
80.      0.      0x0     0xD1
81.      0.      0x0     0xD2
82.      0.      0x0     0xD3
83.      0.      0x0     0xD4
84.      0.      0x0     0xD5
85.      0.      0x0     0xD6
86.      4.      0x0     0xD7
87.      4.      0x0     0xD8
88.      4.      0x0     0xD9
89.      4.      0x1     0x01
90.      4.      0x1     0x10
91.      0.      0x1     0x14
92.      0.      0x1     0x15
93.      0.      0x1     0x16
94.      0.      0x1     0x17
95.      0.      0x1     0x18
96.      0.      0x1     0x19
97.      0.      0x1     0x1A
98.      0.      0x1     0x1B
99.      0.      0x1     0x1C
100.     4.      0x1     0x1D
101.     4.      0x1     0x1E
102.     4.      0x1     0x1F
103.     4.      0x1     0x20
104.     4.      0x1     0x21
105.     4.      0x1     0x22
106.     2.      0x1     0x23
107.     2.      0x1     0x24
108.     2.      0x1     0x25
109.     4.      0x1     0x26
110.     4.      0x1     0x27
111.     4.      0x1     0x28
112.     4.      0x1     0x29
113.     4.      0x1     0x2A
114.     4.      0x1     0x2B
115.     4.      0x1     0x2C
116.     4.      0x1     0x2D
117.     4.      0x1     0x2E
118.     0.      0x1     0x2F
119.     0.      0x1     0x30
120.     0.      0x1     0x31
121.     0.      0x1     0x32
122.     0.      0x1     0x33
123.     0.      0x1     0x34
124.     0.      0x1     0x35
125.     0.      0x1     0x36
126.     0.      0x1     0x37
127.     0.      0x1     0x38
128.     0.      0x1     0x39
129.     0.      0x1     0x3A
130.     4.      0x1     0x40
131.     4.      0x1     0x41
132.     4.      0x1     0x42
133.     4.      0x1     0x43
134.     4.      0x1     0x44
135.     4.      0x1     0x45
136.     4.      0x1     0x46
137.     4.      0x1     0x47
138.     2.      0x1     0x48
139.     2.      0x1     0x49
140.     4.      0x1     0x4A
141.     4.      0x1     0x4B
142.     4.      0x1     0x4C
143.     4.      0x1     0x4D
144.     4.      0x1     0x4E
145.     4.      0x1     0x4F
146.     4.      0x1     0x50
147.     4.      0x1     0x51
148.     4.      0x1     0x52
149.     4.      0x1     0x53
150.     4.      0x1     0x54
151.     4.      0x1     0x55
152.     4.      0x1     0x56
153.     4.      0x1     0x57
154.     4.      0x1     0x58
155.     4.      0x1     0x59
156.     4.      0x1     0x5A
157.     4.      0x1     0x5B
158.     4.      0x1     0x5C
