Channel  Owner  SlaveId  Periph
0.       4.     0x0      0x01
1.       4.     0x0      0x05
2.       4.     0x0      0x06
3.       0.     0x0      0x08
4.       0.     0x0      0x09
5.       2.     0x0      0x1C
6.       0.     0x0      0x24
7.       0.     0x0      0x28
8.       0.     0x0      0x31
9.       2.     0x0      0x32
10.      0.     0x0      0x34
11.      2.     0x0      0x50
12.      4.     0x0      0x51
13.      4.     0x0      0x52
14.      2.     0x0      0x54
15.      2.     0x0      0x55
16.      4.     0x0      0x58
17.      4.     0x0      0x59
18.      4.     0x0      0x5A
19.      4.     0x0      0x5B
20.      4.     0x0      0x5C
21.      4.     0x0      0x5D
22.      2.     0x0      0x60
23.      0.     0x0      0x61
24.      0.     0x0      0x62
25.      4.     0x0      0x70
26.      4.     0x0      0x72
27.      4.     0x0      0x75
28.      4.     0x0      0x76
29.      2.     0x0      0x77
30.      4.     0x0      0x7A
31.      4.     0x0      0x7B
32.      2.     0x0      0x7C
33.      4.     0x0      0x7D
34.      4.     0x0      0x7E
35.      4.     0x0      0x7F
36.      4.     0x0      0x80
37.      4.     0x0      0xA0
38.      0.     0x0      0xA1
39.      0.     0x0      0xA2
40.      0.     0x0      0xA3
41.      0.     0x0      0xA4
42.      0.     0x0      0xA5
43.      4.     0x0      0xA6
44.      0.     0x0      0xA7
45.      0.     0x0      0xC0
46.      0.     0x0      0xC1
47.      0.     0x0      0xC2
48.      0.     0x0      0xC3
49.      0.     0x0      0xC4
50.      2.     0x0      0xC5
51.      0.     0x0      0xC6
52.      0.     0x0      0xC7
53.      0.     0x0      0xC8
54.      0.     0x0      0xC9
55.      0.     0x0      0xCA
56.      0.     0x0      0xCB
57.      0.     0x0      0xCC
58.      0.     0x0      0xCD
59.      0.     0x0      0xCE
60.      0.     0x0      0xCF
61.      0.     0x0      0xD0
62.      0.     0x0      0xD1
63.      0.     0x0      0xD2
64.      0.     0x0      0xD3
65.      0.     0x0      0xD4
66.      0.     0x0      0xD5
67.      4.     0x1      0x10
68.      4.     0x1      0x14
69.      4.     0x1      0x16
70.      4.     0x1      0x17
71.      4.     0x1      0x19
72.      4.     0x1      0x1A
73.      4.     0x1      0x1C
74.      4.     0x1      0x1D
75.      4.     0x1      0x1F
76.      4.     0x1      0x20
77.      4.     0x1      0x22
78.      2.     0x1      0x26
79.      2.     0x1      0x28
80.      0.     0x1      0x32
81.      0.     0x1      0x34
82.      4.     0x1      0x35
83.      4.     0x1      0x37
84.      4.     0x1      0x40
85.      4.     0x1      0x41
86.      4.     0x1      0x42
87.      4.     0x1      0x43
88.      4.     0x1      0x45
89.      4.     0x1      0x46
90.      4.     0x1      0x47
91.      2.     0x1      0x48
92.      2.     0x1      0x49
93.      4.     0x1      0x4A
