Channel  Owner  SlaveId  Periph
0.       4.     0x0      0x01
1.       4.     0x0      0x04
2.       4.     0x0      0x05
3.       4.     0x0      0x06
4.       0.     0x0      0x08
5.       0.     0x0      0x09
6.       4.     0x0      0x0A
7.       4.     0x0      0x0B
8.       4.     0x0      0x0C
9.       0.     0x0      0x0D
10.      2.     0x0      0x1C
11.      0.     0x0      0x24
12.      4.     0x0      0x2C
13.      0.     0x0      0x31
14.      2.     0x0      0x32
15.      0.     0x0      0x36
16.      0.     0x0      0x37
17.      2.     0x0      0x38
18.      0.     0x0      0x39
19.      0.     0x0      0x3A
20.      4.     0x0      0x3B
21.      4.     0x0      0x3C
22.      0.     0x0      0x3D
23.      2.     0x0      0x50
24.      2.     0x0      0x54
25.      2.     0x0      0x55
26.      2.     0x0      0x56
27.      4.     0x0      0x58
28.      4.     0x0      0x59
29.      4.     0x0      0x5A
30.      4.     0x0      0x5B
31.      2.     0x0      0x60
32.      0.     0x0      0x61
33.      0.     0x0      0x62
34.      4.     0x0      0x70
35.      4.     0x0      0x71
36.      4.     0x0      0x72
37.      4.     0x0      0x73
38.      4.     0x0      0x74
39.      0.     0x0      0xC0
40.      0.     0x0      0xC1
41.      0.     0x0      0xC2
42.      0.     0x0      0xC3
43.      0.     0x0      0xC4
44.      0.     0x0      0xC5
45.      0.     0x0      0xC6
46.      0.     0x0      0xC7
47.      2.     0x0      0xC8
48.      0.     0x0      0xC9
49.      0.     0x0      0xCA
50.      0.     0x0      0xCB
51.      4.     0x1      0x01
52.      0.     0x1      0x10
53.      2.     0x1      0x14
54.      2.     0x1      0x15
55.      2.     0x1      0x16
56.      4.     0x1      0x17
57.      4.     0x1      0x18
58.      4.     0x1      0x19
59.      4.     0x1      0x1A
60.      4.     0x1      0x1B
61.      4.     0x1      0x1C
62.      4.     0x1      0x1D
63.      4.     0x1      0x1E
64.      4.     0x1      0x1F
65.      4.     0x1      0x20
66.      4.     0x1      0x21
67.      4.     0x1      0x22
68.      4.     0x1      0x40
69.      4.     0x1      0x41
70.      4.     0x1      0x42
71.      4.     0x1      0x43
72.      4.     0x1      0x44
73.      4.     0x1      0x45
74.      4.     0x1      0x46
75.      4.     0x1      0x47
76.      4.     0x1      0x48
77.      4.     0x1      0x49
78.      4.     0x1      0x4A
79.      4.     0x1      0x4B
80.      4.     0x1      0x4C
81.      0.     0x1      0xBC
82.      0.     0x1      0xBD
