Channel  Owner  SlaveId  Periph
88.      1.     0xF      0x00
64.      4.     0x2      0x06
27.      0.     0x1      0xF3
26.      0.     0x1      0xF2
25.      0.     0x1      0xF1
24.      0.     0x1      0xF0
23.      0.     0x1      0xC0
22.      0.     0x1      0xBC
63.      4.     0x1      0x53
62.      4.     0x1      0x52
61.      4.     0x1      0x51
21.      4.     0x1      0x50
74.      4.     0x1      0x4F
73.      4.     0x1      0x4E
72.      4.     0x1      0x4D
20.      4.     0x1      0x4C
60.      4.     0x1      0x4B
59.      4.     0x1      0x4A
58.      4.     0x1      0x49
57.      4.     0x1      0x48
56.      4.     0x1      0x47
55.      4.     0x1      0x46
19.      4.     0x1      0x45
54.      4.     0x1      0x44
53.      4.     0x1      0x43
52.      4.     0x1      0x42
51.      4.     0x1      0x41
50.      4.     0x1      0x40
49.      4.     0x1      0x1F
48.      4.     0x1      0x1E
47.      4.     0x1      0x1D
46.      4.     0x1      0x1C
45.      4.     0x1      0x1B
44.      4.     0x1      0x1A
18.      0.     0x1      0x19
17.      0.     0x1      0x18
16.      0.     0x1      0x17
43.      4.     0x1      0x16
42.      4.     0x1      0x15
41.      4.     0x1      0x14
40.      4.     0x1      0x10
87.      4.     0x0      0xFE
82.      0.     0x0      0xC3
81.      0.     0x0      0xC2
80.      0.     0x0      0xC1
79.      2.     0x0      0xC0
78.      0.     0x0      0xA3
77.      0.     0x0      0xA2
76.      0.     0x0      0xA1
75.      0.     0x0      0xA0
71.      0.     0x0      0x77
70.      0.     0x0      0x76
69.      0.     0x0      0x75
68.      2.     0x0      0x74
39.      0.     0x0      0x73
38.      0.     0x0      0x72
37.      0.     0x0      0x71
36.      4.     0x0      0x70
15.      0.     0x0      0x62
14.      0.     0x0      0x61
67.      2.     0x0      0x60
35.      4.     0x0      0x5A
34.      4.     0x0      0x59
33.      4.     0x0      0x55
32.      4.     0x0      0x54
31.      4.     0x0      0x52
30.      4.     0x0      0x51
66.      4.     0x0      0x50
13.      0.     0x0      0x40
12.      0.     0x0      0x35
11.      0.     0x0      0x34
10.      2.     0x0      0x33
29.      2.     0x0      0x32
9.       0.     0x0      0x31
28.      4.     0x0      0x2C
8.       0.     0x0      0x28
7.       0.     0x0      0x24
65.      2.     0x0      0x1C
6.       0.     0x0      0x16
5.       0.     0x0      0x13
4.       0.     0x0      0x12
3.       0.     0x0      0x10
2.       0.     0x0      0x0A
1.       0.     0x0      0x09
0.       0.     0x0      0x08
86.      4.     0x0      0x06
85.      4.     0x0      0x05
84.      4.     0x0      0x04
83.      4.     0x0      0x01
