Channel  Owner  SlaveId  Periph
127.     1.     0xF      0x0
93.      4.     0xE      0x6
92.      4.     0xE      0x5
91.      4.     0x2      0x6
90.      4.     0x1      0x51
89.      4.     0x1      0x50
88.      4.     0x1      0x4F
87.      4.     0x1      0x4E
86.      4.     0x1      0x4D
85.      2.     0x1      0x4C
84.      4.     0x1      0x4B
83.      2.     0x1      0x4A
82.      0.     0x1      0x49
81.      4.     0x1      0x48
80.      0.     0x1      0x47
79.      4.     0x1      0x46
78.      4.     0x1      0x45
77.      4.     0x1      0x44
76.      4.     0x1      0x43
75.      4.     0x1      0x42
74.      4.     0x1      0x41
73.      4.     0x1      0x40
72.      4.     0x1      0x25
71.      4.     0x1      0x24
70.      4.     0x1      0x23
69.      4.     0x1      0x22
68.      4.     0x1      0x21
67.      4.     0x1      0x20
66.      4.     0x1      0x1C
65.      4.     0x1      0x1B
64.      4.     0x1      0x1A
63.      4.     0x1      0x19
62.      4.     0x1      0x18
61.      4.     0x1      0x17
60.      4.     0x1      0x16
59.      4.     0x1      0x15
58.      4.     0x1      0x14
57.      4.     0x1      0x10
56.      4.     0x0      0xFE
55.      0.     0x0      0xC5
54.      2.     0x0      0xC4
53.      0.     0x0      0xC3
52.      0.     0x0      0xC2
51.      0.     0x0      0xC1
50.      2.     0x0      0xC0
49.      0.     0x0      0xA5
48.      2.     0x0      0xA4
47.      0.     0x0      0xA3
46.      0.     0x0      0xA2
45.      0.     0x0      0xA1
44.      0.     0x0      0xA0
43.      4.     0x0      0x80
42.      4.     0x0      0x7F
41.      4.     0x0      0x7E
40.      4.     0x0      0x7D
39.      4.     0x0      0x7C
38.      2.     0x0      0x7B
37.      4.     0x0      0x7A
36.      4.     0x0      0x79
35.      4.     0x0      0x78
34.      2.     0x0      0x77
33.      4.     0x0      0x76
32.      4.     0x0      0x75
31.      4.     0x0      0x74
30.      4.     0x0      0x73
29.      4.     0x0      0x72
28.      4.     0x0      0x71
27.      4.     0x0      0x70
26.      0.     0x0      0x62
25.      0.     0x0      0x61
24.      2.     0x0      0x60
23.      4.     0x0      0x5D
22.      4.     0x0      0x5C
21.      4.     0x0      0x5B
20.      4.     0x0      0x5A
19.      4.     0x0      0x59
18.      4.     0x0      0x55
17.      4.     0x0      0x54
16.      4.     0x0      0x52
15.      4.     0x0      0x51
14.      2.     0x0      0x50
13.      2.     0x0      0x35
12.      0.     0x0      0x34
11.      2.     0x0      0x32
10.      0.     0x0      0x31
9.       4.     0x0      0x2C
8.       0.     0x0      0x24
7.       2.     0x0      0x1C
6.       4.     0x0      0xA
5.       2.     0x0      0x9
4.       0.     0x0      0x8
3.       4.     0x0      0x6
2.       4.     0x0      0x5
1.       4.     0x0      0x4
0.       4.     0x0      0x1
