Channel  Owner  SlaveId  Periph
0.       4.     0x0      0x01
1.       4.     0x0      0x04
2.       4.     0x0      0x05
3.       4.     0x0      0x06
4.       0.     0x0      0x08
5.       0.     0x0      0x09
6.       2.     0x0      0x0B
7.       2.     0x0      0x0C
8.       2.     0x0      0x1C
9.       0.     0x0      0x24
10.      0.     0x0      0x28
11.      4.     0x0      0x2C
12.      0.     0x0      0x31
13.      2.     0x0      0x32
14.      0.     0x0      0x36
15.      0.     0x0      0x37
16.      2.     0x0      0x38
17.      0.     0x0      0x39
18.      4.     0x0      0x3C
19.      2.     0x0      0x50
20.      4.     0x0      0x51
21.      4.     0x0      0x52
22.      4.     0x0      0x53
23.      2.     0x0      0x54
24.      2.     0x0      0x55
25.      2.     0x0      0x56
26.      2.     0x0      0x57
27.      4.     0x0      0x59
28.      4.     0x0      0x5A
29.      4.     0x0      0x5B
30.      4.     0x0      0x5C
31.      4.     0x0      0x5D
32.      2.     0x0      0x60
33.      0.     0x0      0x61
34.      0.     0x0      0x62
35.      4.     0x0      0x70
36.      4.     0x0      0x71
37.      4.     0x0      0x72
38.      4.     0x0      0x73
39.      4.     0x0      0x74
40.      0.     0x0      0xC0
41.      0.     0x0      0xC1
42.      0.     0x0      0xC2
43.      0.     0x0      0xC3
44.      0.     0x0      0xC4
45.      0.     0x0      0xC5
46.      0.     0x0      0xC6
47.      0.     0x0      0xC7
48.      0.     0x0      0xC8
49.      0.     0x0      0xC9
50.      0.     0x0      0xCA
51.      0.     0x0      0xCB
52.      0.     0x0      0xCC
53.      0.     0x0      0xCD
54.      0.     0x0      0xCE
55.      0.     0x0      0xCF
56.      0.     0x0      0xD0
57.      0.     0x0      0xD1
58.      0.     0x0      0xD2
59.      0.     0x0      0xD3
60.      0.     0x0      0xD4
61.      0.     0x0      0xD5
62.      0.     0x0      0xD6
63.      0.     0x0      0xD7
64.      0.     0x0      0xD8
65.      0.     0x0      0xD9
66.      0.     0x0      0xDA
67.      0.     0x0      0xDB
68.      4.     0x1      0x01
69.      4.     0x1      0x10
70.      4.     0x1      0x14
71.      4.     0x1      0x15
72.      4.     0x1      0x16
73.      4.     0x1      0x17
74.      4.     0x1      0x18
75.      4.     0x1      0x19
76.      4.     0x1      0x1A
77.      4.     0x1      0x1B
78.      4.     0x1      0x1C
79.      4.     0x1      0x1D
80.      4.     0x1      0x1E
81.      4.     0x1      0x1F
82.      4.     0x1      0x20
83.      4.     0x1      0x21
84.      4.     0x1      0x22
85.      4.     0x1      0x23
86.      4.     0x1      0x24
87.      4.     0x1      0x25
88.      4.     0x1      0x26
89.      4.     0x1      0x27
90.      4.     0x1      0x28
91.      4.     0x1      0x29
92.      4.     0x1      0x2A
93.      4.     0x1      0x2B
94.      0.     0x1      0x2C
95.      0.     0x1      0x2D
96.      0.     0x1      0x2E
97.      0.     0x1      0x2F
98.      0.     0x1      0x30
99.      0.     0x1      0x31
100.     0.     0x1      0x32
101.     0.     0x1      0x33
102.     0.     0x1      0x34
103.     4.     0x1      0x35
104.     4.     0x1      0x36
105.     4.     0x1      0x37
106.     4.     0x1      0x40
107.     4.     0x1      0x41
108.     4.     0x1      0x42
109.     4.     0x1      0x43
110.     4.     0x1      0x44
111.     4.     0x1      0x45
112.     4.     0x1      0x46
113.     4.     0x1      0x47
114.     2.     0x1      0x48
115.     2.     0x1      0x49
116.     4.     0x1      0x4A
117.     4.     0x1      0x4B
118.     4.     0x1      0x4C
119.     4.     0x1      0x4D
120.     4.     0x1      0x4E
121.     4.     0x1      0x4F
122.     4.     0x1      0x50
123.     4.     0x1      0x51
124.     4.     0x1      0x52
125.     4.     0x1      0x53
126.     4.     0x1      0x54
127.     4.     0x1      0x55
128.     4.     0x1      0x56
129.     4.     0x1      0x57
130.     4.     0x1      0x58
131.     4.     0x1      0x59
132.     4.     0x1      0x5A
133.     4.     0x1      0x5B
134.     4.     0x1      0x5C
135.     4.     0x1      0x5D
136.     4.     0x1      0x80
137.     4.     0x1      0x81
138.     4.     0x2      0x01
139.     4.     0x2      0x04
140.     4.     0x2      0x05
141.     4.     0x2      0x06
142.     0.     0x2      0x08
143.     0.     0x2      0x09
144.     0.     0x2      0x10
145.     0.     0x2      0x11
146.     0.     0x2      0x12
147.     0.     0x2      0x13
148.     0.     0x2      0x14
149.     0.     0x2      0x16
150.     0.     0x2      0x17
151.     0.     0x2      0x1B
152.     2.     0x2      0x1C
153.     4.     0x2      0x2C
154.     4.     0x2      0x3C
155.     4.     0x2      0x59
156.     4.     0x2      0x70
157.     4.     0x2      0x71
158.     4.     0x2      0x72
